img,type
0_0.png,Breast
0_1.png,Breast
0_2.png,Breast
0_3.png,Breast
0_4.png,Breast
0_5.png,Breast
0_6.png,Breast
0_7.png,Breast
0_8.png,Breast
0_9.png,Breast
0_10.png,Breast
0_11.png,Breast
0_12.png,Breast
0_13.png,Breast
0_14.png,Breast
0_15.png,Breast
0_16.png,Breast
0_17.png,Breast
0_18.png,Breast
0_19.png,Breast
0_20.png,Breast
0_21.png,Breast
0_22.png,Breast
0_23.png,Breast
0_24.png,Breast
0_25.png,Breast
0_26.png,Breast
0_27.png,Breast
0_28.png,Breast
0_29.png,Breast
0_30.png,Breast
0_31.png,Breast
0_32.png,Breast
0_33.png,Breast
0_34.png,Breast
0_35.png,Breast
0_36.png,Breast
0_37.png,Breast
0_38.png,Breast
0_39.png,Breast
0_40.png,Breast
0_41.png,Breast
0_42.png,Breast
0_43.png,Breast
0_44.png,Breast
0_45.png,Breast
0_46.png,Breast
0_47.png,Breast
0_48.png,Breast
0_49.png,Breast
0_50.png,Breast
0_51.png,Breast
0_52.png,Breast
0_53.png,Breast
0_54.png,Breast
0_55.png,Breast
0_56.png,Breast
0_57.png,Breast
0_58.png,Breast
0_59.png,Breast
0_60.png,Breast
0_61.png,Breast
0_62.png,Breast
0_63.png,Breast
0_64.png,Breast
0_65.png,Breast
0_66.png,Breast
0_67.png,Breast
0_68.png,Breast
0_69.png,Breast
0_70.png,Breast
0_71.png,Breast
0_72.png,Breast
0_73.png,Breast
0_74.png,Breast
0_75.png,Breast
0_76.png,Breast
0_77.png,Breast
0_78.png,Breast
0_79.png,Breast
0_80.png,Breast
0_81.png,Breast
0_82.png,Breast
0_83.png,Breast
0_84.png,Breast
0_85.png,Breast
0_86.png,Breast
0_87.png,Breast
0_88.png,Breast
0_89.png,Breast
0_90.png,Breast
0_91.png,Breast
0_92.png,Breast
0_93.png,Breast
0_94.png,Breast
0_95.png,Breast
0_96.png,Breast
0_97.png,Breast
0_98.png,Breast
0_99.png,Breast
0_100.png,Breast
0_101.png,Breast
0_102.png,Breast
0_103.png,Breast
0_104.png,Breast
0_105.png,Breast
0_106.png,Breast
0_107.png,Breast
0_108.png,Breast
0_109.png,Breast
0_110.png,Breast
0_111.png,Breast
0_112.png,Breast
0_113.png,Breast
0_114.png,Breast
0_115.png,Breast
0_116.png,Breast
0_117.png,Breast
0_118.png,Breast
0_119.png,Breast
0_120.png,Breast
0_121.png,Breast
0_122.png,Breast
0_123.png,Breast
0_124.png,Breast
0_125.png,Breast
0_126.png,Breast
0_127.png,Breast
0_128.png,Breast
0_129.png,Breast
0_130.png,Breast
0_131.png,Breast
0_132.png,Breast
0_133.png,Breast
0_134.png,Breast
0_135.png,Breast
0_136.png,Breast
0_137.png,Breast
0_138.png,Breast
0_139.png,Breast
0_140.png,Breast
0_141.png,Breast
0_142.png,Breast
0_143.png,Breast
0_144.png,Breast
0_145.png,Breast
0_146.png,Breast
0_147.png,Breast
0_148.png,Breast
0_149.png,Breast
0_150.png,Breast
0_151.png,Breast
0_152.png,Breast
0_153.png,Breast
0_154.png,Breast
0_155.png,Breast
0_156.png,Breast
0_157.png,Breast
0_158.png,Breast
0_159.png,Breast
0_160.png,Breast
0_161.png,Breast
0_162.png,Breast
0_163.png,Breast
0_164.png,Breast
0_165.png,Breast
0_166.png,Breast
0_167.png,Breast
0_168.png,Breast
0_169.png,Breast
0_170.png,Breast
0_171.png,Breast
0_172.png,Breast
0_173.png,Breast
0_174.png,Breast
0_175.png,Breast
0_176.png,Breast
0_177.png,Breast
0_178.png,Breast
0_179.png,Breast
0_180.png,Breast
0_181.png,Breast
0_182.png,Breast
0_183.png,Breast
0_184.png,Breast
0_185.png,Breast
0_186.png,Breast
0_187.png,Breast
0_188.png,Breast
0_189.png,Breast
0_190.png,Breast
0_191.png,Breast
0_192.png,Breast
0_193.png,Breast
0_194.png,Breast
0_195.png,Breast
0_196.png,Breast
0_197.png,Breast
0_198.png,Breast
0_199.png,Breast
0_200.png,Breast
0_201.png,Breast
0_202.png,Breast
0_203.png,Breast
0_204.png,Breast
0_205.png,Breast
0_206.png,Breast
0_207.png,Breast
0_208.png,Breast
0_209.png,Breast
0_210.png,Breast
0_211.png,Breast
0_212.png,Breast
0_213.png,Breast
0_214.png,Breast
0_215.png,Breast
0_216.png,Breast
0_217.png,Breast
0_218.png,Breast
0_219.png,Breast
0_220.png,Breast
0_221.png,Breast
0_222.png,Breast
0_223.png,Breast
