Image,Neoplastic,Inflammatory,Connective,Dead,Epithelial
1_0.png,6,0,3,0,0
1_1.png,1,0,9,0,0
1_10.png,7,1,3,0,0
1_100.png,0,1,5,0,23
1_1000.png,0,0,23,0,0
1_1001.png,0,0,13,0,0
1_1002.png,0,0,7,0,0
1_1003.png,0,0,10,0,0
1_1004.png,0,0,8,0,0
1_1005.png,0,0,10,0,0
1_1006.png,0,0,13,0,0
1_1007.png,34,0,8,0,0
1_1008.png,36,0,8,0,0
1_1009.png,32,0,2,2,0
1_101.png,1,0,6,0,17
1_1010.png,34,0,1,4,0
1_1011.png,33,0,2,0,0
1_1012.png,33,0,1,0,0
1_1013.png,35,0,5,0,0
1_1014.png,22,0,8,0,0
1_1015.png,10,0,27,0,0
1_1016.png,23,1,10,0,0
1_1017.png,4,1,42,0,0
1_1018.png,4,1,24,0,0
1_1019.png,29,0,1,0,0
1_102.png,2,1,6,0,0
1_1020.png,0,0,35,0,0
1_1021.png,0,0,28,0,0
1_1022.png,6,1,30,0,0
1_1023.png,0,5,0,0,0
1_1024.png,0,2,0,0,0
1_1025.png,0,3,2,0,0
1_1026.png,0,5,0,0,0
1_1027.png,0,0,1,0,0
1_1028.png,0,0,0,0,0
1_1029.png,0,0,0,0,0
1_103.png,0,1,3,0,41
1_1030.png,0,7,1,0,0
1_1031.png,17,0,1,0,0
1_1032.png,18,0,6,0,0
1_1033.png,20,0,4,0,0
1_1034.png,12,0,5,0,0
1_1035.png,26,1,2,0,0
1_1036.png,20,0,6,0,0
1_1037.png,20,1,2,0,0
1_1038.png,19,1,9,0,0
1_1039.png,13,0,4,0,0
1_104.png,0,0,6,0,32
1_1040.png,13,0,3,0,0
1_1041.png,17,0,2,0,0
1_1042.png,17,0,0,0,0
1_1043.png,20,0,1,0,0
1_1044.png,22,0,0,0,0
1_1045.png,8,0,5,0,0
1_1046.png,0,0,4,0,0
1_1047.png,6,1,4,0,0
1_1048.png,11,0,0,0,0
1_1049.png,11,0,1,0,0
1_105.png,31,0,1,0,0
1_1050.png,8,1,7,0,0
1_1051.png,14,0,4,0,0
1_1052.png,14,0,4,0,0
1_1053.png,15,0,0,0,0
1_1054.png,10,0,3,0,0
1_1055.png,9,0,1,0,0
1_1056.png,6,1,1,0,0
1_1057.png,14,0,1,0,0
1_1058.png,9,0,3,0,0
1_1059.png,12,0,1,0,0
